dAge,counts
34,8
35,5
32,4
33,6
38,1
39,1
36,4
42,2
41,1
15,1
19,1
18,2
21,8
20,4
23,6
22,7
25,8
24,8
27,7
26,3
29,9
28,17
31,8
30,6
