ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,124,-1,-1,-1,-1,-1,-1
_15_24,6,0,-1,25,45,7,0,0,-1
_25_34,17,4,-1,-1,8,9,0,6,-1
_35_44,26,5,-1,-1,6,5,0,4,-1
_45_54,27,0,-1,-1,4,0,0,11,-1
_55_64,33,4,-1,-1,0,3,0,0,-1
_65_74,24,0,-1,-1,0,0,0,9,-1
_75_84,8,0,-1,-1,0,0,4,3,-1
_85_99,0,0,-1,-1,0,0,0,0,-1
