ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,62,-1,-1,-1,-1,-1,-1
_15_24,6,0,-1,12,3,3,4,5,-1
_25_34,65,0,-1,-1,7,0,14,13,-1
_35_44,47,0,-1,-1,3,0,3,4,-1
_45_54,36,0,-1,-1,0,0,0,5,-1
_55_64,31,0,-1,-1,0,0,0,10,-1
_65_74,14,3,-1,-1,0,0,0,4,-1
_75_84,6,0,-1,-1,0,0,0,3,-1
_85_99,0,0,-1,-1,0,0,0,0,-1
