ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,43,-1,-1,-1,-1,-1,-1
_15_24,0,0,-1,13,6,13,7,6,-1
_25_34,23,0,-1,-1,5,0,17,20,-1
_35_44,34,0,-1,-1,0,0,12,23,-1
_45_54,19,0,-1,-1,0,0,5,16,-1
_55_64,5,0,-1,-1,0,0,0,12,-1
_65_74,3,0,-1,-1,0,0,0,4,-1
_75_84,7,0,-1,-1,0,0,0,0,-1
_85_99,0,0,-1,-1,0,0,0,0,-1
