ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,62,-1,-1,-1,-1,-1,-1
_15_24,0,0,-1,23,19,3,0,0,-1
_25_34,8,0,-1,-1,8,3,3,0,-1
_35_44,25,0,-1,-1,0,0,0,0,-1
_45_54,46,3,-1,-1,0,3,0,0,-1
_55_64,36,0,-1,-1,0,3,0,3,-1
_65_74,21,0,-1,-1,0,3,0,0,-1
_75_84,5,0,-1,-1,0,0,0,0,-1
_85_99,0,0,-1,-1,0,0,0,0,-1
