dAge,counts
34,2
35,1
32,2
33,5
3,1
4,2
36,3
37,2
40,1
17,6
16,11
19,24
18,19
21,25
20,30
23,31
22,42
25,32
24,49
27,24
26,58
29,27
28,12
31,2
30,3
