dAge,counts
17,8
16,17
19,6
18,12
21,9
20,12
23,10
22,10
25,9
24,13
27,9
26,7
29,8
28,17
31,3
30,6
34,2
35,1
32,6
33,6
38,1
36,1
37,1
40,1
49,2
