targetAreaCode,slaCode,slaName,targetAreaCentroidX,targetAreaCentroidY
1242502,105658000,Warringah (A),0,0
1242503,105658000,Warringah (A),0,0
1242504,105658000,Warringah (A),0,0
1242505,105658000,Warringah (A),0,0
1242506,105658000,Warringah (A),0,0
1242507,105658000,Warringah (A),0,0
1242508,105658000,Warringah (A),0,0
1242509,105658000,Warringah (A),0,0
1242510,105658000,Warringah (A),0,0
1242511,105658000,Warringah (A),0,0
1242512,105658000,Warringah (A),0,0
1242513,105658000,Warringah (A),0,0
1242514,105658000,Warringah (A),0,0
1242601,105658000,Warringah (A),0,0
1242602,105658000,Warringah (A),0,0
1242603,105658000,Warringah (A),0,0
1242604,105658000,Warringah (A),0,0
1242605,105658000,Warringah (A),0,0
1242606,105658000,Warringah (A),0,0
1242607,105658000,Warringah (A),0,0
1242608,105658000,Warringah (A),0,0
1242609,105658000,Warringah (A),0,0
1242610,105658000,Warringah (A),0,0
1242611,105658000,Warringah (A),0,0
1242612,105658000,Warringah (A),0,0
1242613,105658000,Warringah (A),0,0
1242614,105658000,Warringah (A),0,0
1242615,105658000,Warringah (A),0,0
1242616,105658000,Warringah (A),0,0
1242701,105655150,Manly (A),0,0
1242702,105655150,Manly (A),0,0
1242703,105655150,Manly (A),0,0
1242704,105655150,Manly (A),0,0
1242705,105655150,Manly (A),0,0
1242706,105655150,Manly (A),0,0
1242707,105655150,Manly (A),0,0
1242708,105655150,Manly (A),0,0
1242709,105655150,Manly (A),0,0
1242710,105655150,Manly (A),0,0
1242711,105655150,Manly (A),0,0
1242801,105655150,Manly (A),0,0
1242802,105655150,Manly (A),0,0
1242803,105655150,Manly (A),0,0
1242804,105655150,Manly (A),0,0
1242805,105655150,Manly (A),0,0
1242806,105655150,Manly (A),0,0
1242807,105655150,Manly (A),0,0
1242808,105655150,Manly (A),0,0
1242809,105655150,Manly (A),0,0
1242810,105655150,Manly (A),0,0
1242901,105655150,Manly (A),0,0
1242902,105655150,Manly (A),0,0
1242903,105655150,Manly (A),0,0
1242904,105655150,Manly (A),0,0
1242905,105655150,Manly (A),0,0
1242906,105655150,Manly (A),0,0
1242907,105655150,Manly (A),0,0
1242908,105655150,Manly (A),0,0
1242909,105655150,Manly (A),0,0
1242910,105655150,Manly (A),0,0
1242911,105655150,Manly (A),0,0
1242912,105655150,Manly (A),0,0
1243001,105655150,Manly (A),0,0
1243002,105655150,Manly (A),0,0
1243003,105655150,Manly (A),0,0
1243004,105655150,Manly (A),0,0
1243005,105655150,Manly (A),0,0
1243006,105655150,Manly (A),0,0
1243007,105655150,Manly (A),0,0
1243008,105655150,Manly (A),0,0
1243009,105655150,Manly (A),0,0
1243010,105655150,Manly (A),0,0
1243011,105655150,Manly (A),0,0
