dAge,counts
34,3
35,1
33,1
39,1
36,1
37,1
40,1
41,1
17,1
16,1
19,1
18,4
21,3
20,4
23,2
22,3
25,2
24,1
27,2
26,2
29,1
28,1
31,3
30,3
