hhRel,countABS,countSP
Married,76504,76462
LoneParent,2679,2549
U15Child,33967,33967
Student,7787,7936
O15Child,14087,14287
Relative,3687,3738
GroupHhold,4520,4921
LonePerson,14847,14628
Unknown,0,0
