hhType,countABS,countSP
NF,20762,21276
HF1,37189,36861
HF2,2122,2044
HF3,9776,10236
HF4,3441,3537
HF5,41868,42095
HF6,4433,4641
HF7,5079,5191
HF8,12109,12460
HF9,460,557
HF10,2357,2453
HF11,1566,1521
HF12,12092,11921
HF13,993,995
HF14,1754,1722
HF15,5933,6190
HF16,1117,1226
Unknown,0,0
