hhType,countABS,countSP
NF,19367,19549
HF1,36643,35912
HF2,2273,2154
HF3,9943,10469
HF4,3993,4014
HF5,42226,42587
HF6,4607,4872
HF7,5004,5074
HF8,14724,15249
HF9,378,383
HF10,1539,1728
HF11,1030,1032
HF12,7187,7335
HF13,636,680
HF14,1058,1043
HF15,4893,5121
HF16,1284,1286
Unknown,0,0
