dAge,counts
34,1
1,1
33,2
39,1
37,1
42,2
43,2
40,1
41,1
45,1
17,3
16,5
19,3
18,2
-13,1
21,5
20,6
23,8
22,6
25,6
24,2
27,2
26,5
29,2
28,3
30,1
