zoneName,MarriedABS,MarriedSP,LoneParentABS,LoneParentSP,U15ChildABS,U15ChildSP,StudentABS,StudentSP,O15ChildABS,O15ChildSP,RelativeABS,RelativeSP,GroupHholdMembersABS,GroupHholdMembersSP,LonePersonABS,LonePersonSP,UnknownABS,UnknownSP
1181209,59,59,0,0,35,35,7,7,7,7,3,3,4,8,22,20,0,0
1182412,62,63,6,6,40,40,6,6,9,9,0,0,10,10,34,33,0,0
1181208,51,51,0,0,14,14,5,5,11,11,8,8,11,9,24,23,0,0
1181207,63,63,6,6,35,35,4,4,13,13,12,12,9,0,25,25,0,0
1181012,130,130,4,4,38,38,9,9,24,24,6,6,0,3,29,27,0,0
1182410,72,72,9,9,39,39,11,11,10,10,3,3,11,15,29,29,0,0
1192005,37,37,3,3,16,16,7,7,12,12,9,9,6,6,12,10,0,0
1191401,75,75,3,3,33,33,6,6,9,9,9,9,52,52,16,16,0,0
1190513,51,51,0,0,20,20,0,0,11,11,0,0,12,17,29,28,0,0
1192006,77,77,9,9,28,28,5,5,22,22,4,4,9,8,28,27,0,0
1190514,80,80,0,0,40,40,13,13,23,23,0,0,0,0,35,35,0,0
1192007,89,89,3,3,21,21,9,14,24,24,3,3,6,5,27,28,0,0
1191403,166,166,6,6,86,86,30,30,25,25,9,9,44,44,50,48,0,0
1190515,139,139,6,6,86,86,21,21,17,17,0,0,3,3,9,9,0,0
1192008,67,67,0,0,33,33,7,7,9,9,6,6,0,0,20,24,0,0
1191402,123,123,6,6,46,46,25,25,24,24,12,12,7,4,15,13,0,0
1192001,114,114,9,6,37,37,13,13,28,28,13,13,9,8,39,39,0,0
1181212,70,71,0,0,17,17,0,5,8,8,0,0,0,0,17,17,0,0
1182409,147,147,0,0,64,64,10,10,18,18,3,3,12,12,28,26,0,0
1192002,101,101,6,6,40,40,3,3,32,32,14,14,9,3,17,16,0,0
1181213,71,71,6,6,25,25,3,3,9,9,3,3,0,3,18,21,0,0
1182408,75,76,9,9,58,58,6,6,15,15,3,3,3,5,30,28,0,0
1192003,101,101,7,7,44,44,7,7,22,24,3,3,3,3,24,22,0,0
1181210,152,150,10,10,47,47,13,13,16,16,5,5,6,5,31,31,0,0
1181009,58,58,6,6,38,38,8,8,7,7,3,3,0,0,12,11,0,0
1182407,179,180,6,6,78,78,21,21,23,26,9,9,7,7,18,18,0,0
1192004,28,29,0,0,12,12,0,0,10,10,0,0,3,3,14,13,0,0
1181211,99,99,3,3,69,69,9,9,13,15,7,7,0,1,26,29,0,0
1182406,113,113,0,0,66,66,13,13,16,16,0,0,4,0,23,23,0,0
1191502,148,148,3,3,66,66,28,28,31,31,6,6,0,0,0,11,0,0
1191501,323,323,0,0,194,194,56,56,51,51,4,4,0,3,6,4,0,0
1192602,95,96,0,0,43,43,13,14,29,29,0,0,0,0,26,23,0,0
1192601,71,68,3,3,28,28,4,0,0,0,3,3,8,8,34,32,0,0
1192415,427,427,0,0,246,246,42,42,80,80,14,14,0,0,18,18,0,0
1191206,57,57,0,0,5,5,5,5,7,7,7,7,40,43,46,46,0,0
1192414,51,51,4,4,44,44,7,7,15,15,9,9,3,3,3,3,0,0
1191207,63,63,3,0,15,15,6,6,8,8,23,23,21,21,68,65,0,0
1192413,180,180,6,4,64,64,20,20,46,46,3,3,0,0,5,8,0,0
1191208,75,75,6,3,16,16,6,6,11,11,9,9,42,45,77,77,0,0
1192412,158,158,3,3,57,57,17,17,26,26,12,12,0,0,33,35,0,0
1191410,55,56,0,0,23,23,6,6,8,9,4,4,23,35,21,20,0,0
1191209,115,116,0,0,26,26,8,8,14,14,3,3,59,67,51,47,0,0
1192411,232,232,9,9,129,129,31,31,49,49,3,3,10,13,14,11,0,0
1192410,318,318,4,4,180,180,45,45,61,61,10,10,9,5,21,20,0,0
1192209,148,148,9,9,94,94,14,14,48,48,10,10,3,3,24,23,0,0
1192208,124,124,8,8,67,67,19,19,32,32,8,8,5,5,19,20,0,0
1192207,148,143,10,10,84,84,14,14,38,38,7,7,6,6,22,21,0,0
1191405,270,271,7,7,113,113,29,29,31,31,6,6,20,19,32,32,0,0
1191210,61,61,3,3,6,6,3,3,0,6,7,7,34,48,34,32,0,0
1191404,72,72,3,4,17,17,6,6,12,12,3,3,3,3,6,3,0,0
1192409,310,310,3,3,183,183,20,20,27,27,7,7,0,0,11,11,0,0
1191407,94,95,3,3,35,35,8,8,14,14,25,25,52,52,28,27,0,0
1191406,172,172,4,4,70,70,16,16,17,17,4,4,21,21,15,15,0,0
1191211,68,68,5,5,10,10,0,0,14,14,15,15,22,23,41,40,0,0
1192407,142,143,9,9,57,57,13,13,30,30,3,3,6,7,13,11,0,0
1192212,121,121,9,6,58,58,9,9,36,36,18,18,8,6,21,21,0,0
1191409,163,163,3,1,62,62,14,14,25,25,11,11,4,4,8,8,0,0
1191214,45,43,3,0,8,8,0,0,7,7,6,6,4,4,24,25,0,0
1192408,180,181,9,9,70,70,17,17,39,39,0,0,5,5,28,28,0,0
1191408,155,151,4,4,63,63,15,15,12,12,11,11,48,64,35,32,0,0
1191213,51,51,6,6,14,14,10,15,15,15,0,0,23,28,24,20,0,0
1192405,138,139,3,3,52,52,13,13,25,25,4,4,0,0,8,8,0,0
1192210,102,102,7,7,31,31,18,18,32,32,3,3,4,8,65,63,0,0
1192406,57,57,6,6,28,28,7,7,16,16,3,3,0,0,9,5,0,0
1192211,203,203,9,9,64,64,14,14,53,53,12,12,3,3,21,21,0,0
1192806,253,253,6,6,138,138,12,12,20,25,15,15,0,0,9,8,0,0
1192611,47,48,4,4,19,19,5,5,15,15,0,0,6,5,46,46,0,0
1192805,190,191,8,8,77,77,19,19,26,26,7,7,11,25,34,34,0,0
1192808,141,141,3,3,63,63,19,22,34,34,5,5,0,0,9,12,0,0
1192613,76,77,3,3,48,48,8,8,25,25,6,6,3,0,19,19,0,0
1192807,193,194,9,9,99,99,27,27,31,34,17,17,9,9,46,46,0,0
1192612,34,34,10,9,14,14,4,4,6,6,0,0,3,6,33,33,0,0
1192802,135,134,9,9,101,101,30,30,57,57,4,4,5,5,15,14,0,0
1192801,124,124,3,3,78,78,13,13,17,17,9,9,3,3,6,9,0,0
1192804,137,138,4,4,49,49,21,21,32,32,5,5,0,8,9,7,0,0
1192803,242,242,13,9,159,159,13,13,38,38,6,6,3,3,22,22,0,0
1192402,125,125,7,7,60,60,25,25,26,26,3,3,6,6,14,14,0,0
1192401,131,131,3,3,101,101,20,20,38,38,8,8,3,3,6,6,0,0
1192404,130,130,6,6,85,85,8,8,42,42,6,6,0,0,23,23,0,0
1192403,87,87,7,7,33,33,15,15,33,33,3,3,0,3,18,14,0,0
1192809,63,63,0,0,32,32,19,19,24,24,3,3,0,0,6,6,0,0
1192203,197,197,8,6,77,77,28,28,53,53,6,6,5,4,23,23,0,0
1192204,89,88,0,0,40,40,12,14,14,14,0,0,6,6,9,9,0,0
1192205,217,217,9,9,92,92,19,20,53,53,13,13,3,0,21,21,0,0
1192206,316,316,3,3,109,109,20,20,46,46,4,4,9,11,28,28,0,0
1192201,207,208,9,9,30,30,8,8,25,25,9,9,4,4,26,26,0,0
1192202,84,80,0,0,36,36,0,0,6,6,0,0,0,0,25,22,0,0
1192607,113,111,12,12,47,47,12,12,37,37,16,16,4,4,22,22,0,0
1192608,38,36,3,3,25,25,3,3,12,12,6,6,0,0,31,31,0,0
1192810,73,73,3,2,40,40,9,9,6,6,0,0,0,0,0,0,0,0
1192609,62,62,0,0,31,31,11,11,13,13,9,9,0,0,15,14,0,0
1192811,285,285,3,3,133,133,25,25,53,53,6,6,3,0,35,35,0,0
1192603,214,215,14,14,103,103,23,23,54,54,25,25,6,6,40,42,0,0
1192604,156,156,9,9,96,96,23,23,54,54,17,17,3,3,24,23,0,0
1192605,158,159,9,9,107,107,24,24,65,65,8,8,5,5,22,20,0,0
1192606,154,153,16,16,99,99,13,13,60,60,16,16,8,8,22,22,0,0
1193107,171,171,0,0,60,60,12,12,21,21,4,4,4,4,18,15,0,0
1193108,126,127,3,3,62,62,12,12,18,18,8,8,0,0,18,18,0,0
1193105,191,191,0,0,92,92,21,21,29,29,4,4,0,0,13,13,0,0
1193106,162,162,10,10,64,64,16,16,28,28,10,10,19,19,38,38,0,0
1193103,226,226,9,9,94,94,23,23,27,27,12,12,0,0,7,7,0,0
1193104,117,117,0,0,36,36,4,4,17,17,6,6,8,4,22,22,0,0
1193101,184,184,0,0,75,75,20,20,30,30,0,0,6,4,12,16,0,0
1193102,238,238,0,0,122,122,31,31,42,42,6,6,5,7,13,12,0,0
1192311,74,74,0,0,26,26,6,6,12,12,3,3,0,0,15,15,0,0
1192312,108,108,3,3,52,52,11,11,17,17,4,4,0,0,5,5,0,0
1191309,58,58,3,3,13,13,3,3,3,3,10,10,74,76,44,42,0,0
1192310,238,239,0,0,100,100,22,22,42,42,12,12,9,9,20,20,0,0
1191306,106,106,5,5,37,37,10,10,13,13,17,17,62,75,54,53,0,0
1191305,27,27,0,0,18,18,3,3,10,10,0,0,14,14,7,7,0,0
1192313,149,149,6,6,67,67,20,20,31,31,4,4,3,0,46,46,0,0
1191308,62,62,6,6,24,24,11,11,16,16,0,0,26,24,26,26,0,0
1191307,78,79,9,8,28,28,10,10,15,15,8,8,15,15,27,25,0,0
1192309,153,153,11,11,61,61,10,10,33,33,3,3,0,0,16,16,0,0
1191312,61,61,5,5,21,21,4,4,15,15,12,12,20,20,40,40,0,0
1192308,155,156,6,6,62,62,6,6,34,34,5,5,0,0,20,21,0,0
1191313,99,99,4,4,13,13,3,3,6,6,23,23,29,30,49,47,0,0
1192307,111,109,0,0,61,61,9,9,13,13,12,12,3,3,15,15,0,0
1192306,107,108,9,9,33,33,4,4,23,23,6,6,9,7,28,29,0,0
1191310,49,49,3,1,9,9,7,7,6,6,3,3,13,10,52,52,0,0
1191311,50,51,3,3,10,10,3,9,5,5,3,3,19,24,40,40,0,0
1192701,125,126,4,4,43,43,13,13,20,24,0,0,9,9,43,41,0,0
1193010,274,274,10,9,146,146,52,52,59,59,0,0,0,0,10,9,0,0
1192702,161,161,0,0,43,43,12,12,26,28,9,9,0,0,92,92,0,0
1192703,131,131,10,10,72,72,15,15,34,34,12,12,13,26,29,29,0,0
1192704,147,147,6,6,79,79,10,10,51,51,3,3,6,6,38,40,0,0
1192705,147,147,11,11,78,78,5,5,39,39,3,3,0,16,13,13,0,0
1192706,122,122,3,1,63,63,7,7,32,32,15,15,15,23,26,26,0,0
1192707,110,110,3,3,46,46,12,12,22,22,4,4,0,0,18,18,0,0
1192708,150,150,9,9,55,55,15,15,38,38,9,9,3,10,19,18,0,0
1192709,112,112,9,6,48,48,10,10,21,26,3,3,6,15,9,7,0,0
1192301,126,127,6,4,80,80,16,16,20,20,3,3,12,9,26,26,0,0
1193209,128,128,9,9,74,74,14,14,19,20,9,9,9,9,10,10,0,0
1192302,207,207,15,14,87,87,14,14,64,64,14,14,3,3,49,49,0,0
1193208,132,132,6,6,72,72,16,16,26,26,0,0,3,0,9,9,0,0
1192303,97,97,6,3,35,35,8,11,26,26,12,12,12,8,33,33,0,0
1193111,184,184,3,2,81,81,28,28,35,35,4,4,0,0,17,17,0,0
1192304,87,88,0,0,41,41,6,6,20,22,6,6,6,4,20,26,0,0
1193110,249,250,5,5,123,123,25,25,32,38,7,7,0,23,32,29,0,0
1192305,79,79,0,0,30,30,6,6,11,11,9,9,6,0,12,12,0,0
1193215,216,216,0,0,143,143,21,21,27,27,3,3,0,0,6,6,0,0
1193211,95,95,7,7,36,36,9,10,21,21,4,8,3,0,12,12,0,0
1193212,255,256,6,6,136,136,42,42,62,62,12,12,12,9,19,21,0,0
1193213,86,86,9,7,79,79,19,19,41,41,3,3,3,8,17,16,0,0
1193214,263,263,4,4,201,201,35,35,29,29,5,5,3,3,9,8,0,0
1193109,162,161,6,6,78,78,12,12,31,31,3,3,10,18,32,29,0,0
1193210,107,107,7,6,57,57,8,8,36,36,16,16,3,3,27,27,0,0
1192710,211,211,6,6,80,80,11,14,59,59,4,4,6,9,22,20,0,0
1192712,161,162,9,9,35,35,12,12,38,38,6,6,12,5,12,19,0,0
1192711,123,120,0,0,24,24,17,17,27,27,8,8,9,11,51,49,0,0
1193001,52,50,0,0,28,28,5,5,17,17,3,3,0,0,9,7,0,0
1193005,190,191,12,12,80,80,15,15,40,40,18,18,7,7,30,29,0,0
1192814,332,333,3,3,205,205,26,26,28,28,0,0,0,0,15,15,0,0
1190711,108,108,6,6,30,30,9,9,23,23,6,6,3,0,10,10,0,0
1193004,116,116,0,0,67,67,17,17,13,13,14,14,6,6,12,9,0,0
1190712,147,147,9,8,56,56,19,19,33,33,10,10,8,4,32,32,0,0
1193003,305,305,8,8,207,207,26,26,44,44,9,9,3,2,9,10,0,0
1192812,336,329,7,7,138,138,42,42,57,57,12,12,11,9,33,33,0,0
1190713,128,128,7,7,40,40,6,6,36,36,4,4,12,12,33,33,0,0
1193002,62,59,0,0,38,38,9,9,11,11,3,3,0,2,4,5,0,0
1192813,74,74,0,0,45,45,6,6,9,9,3,3,0,0,0,0,0,0
1190714,56,50,0,0,24,24,3,0,20,20,0,0,3,6,16,16,0,0
1193009,196,196,3,5,91,91,19,19,20,20,9,9,0,0,18,18,0,0
1192818,247,247,0,0,177,177,24,24,30,30,10,10,4,4,10,10,0,0
1193008,120,120,7,6,45,45,15,15,29,29,3,3,3,3,12,10,0,0
1193007,181,181,4,4,120,120,26,26,38,38,3,4,6,5,21,22,0,0
1192816,146,146,3,3,74,74,11,11,12,16,6,6,0,0,4,7,0,0
1193006,169,169,6,6,89,89,14,14,37,37,9,9,3,12,31,31,0,0
1192817,265,266,3,3,154,154,29,29,38,38,9,9,0,0,26,26,0,0
1193202,145,145,6,6,72,72,12,12,29,29,0,0,3,3,13,13,0,0
1193203,77,77,0,0,26,26,9,9,13,13,3,3,12,10,12,4,0,0
1193201,92,92,3,3,67,67,4,4,17,17,4,4,3,0,12,12,0,0
1193206,394,394,11,11,254,254,34,34,71,71,15,15,4,8,20,20,0,0
1193207,71,71,5,5,47,47,10,10,11,11,6,6,5,0,15,12,0,0
1193204,137,137,9,9,46,46,7,7,27,27,6,6,0,0,4,5,0,0
1193205,148,148,0,0,67,67,11,11,26,26,4,7,0,0,22,22,0,0
1191303,119,119,6,4,47,47,8,8,29,29,0,0,12,10,38,38,0,0
1191304,50,50,0,0,32,32,8,8,11,11,3,3,0,0,16,14,0,0
1191301,159,159,3,3,79,79,21,21,28,28,6,6,7,5,15,15,0,0
1191302,106,107,0,0,31,31,17,17,24,24,3,3,7,5,19,19,0,0
1191204,127,127,3,3,22,22,4,4,13,19,12,12,12,20,42,40,0,0
1192416,330,331,9,9,207,207,25,25,52,52,15,15,9,8,24,24,0,0
1191205,40,35,0,0,3,3,3,3,9,9,0,0,11,14,37,37,0,0
1191202,102,102,3,3,14,14,0,0,17,17,11,11,65,63,59,59,0,0
1191203,75,75,0,0,11,11,3,3,7,7,6,6,23,20,68,67,0,0
1191201,50,50,0,0,10,10,5,5,14,14,15,15,52,50,41,41,0,0
