zoneName,NF_ABS,NF_SP,HF1_ABS,HF1_SP,HF2_ABS,HF2_SP,HF3_ABS,HF3_SP,HF4_ABS,HF4_SP,HF5_ABS,HF5_SP,HF6_ABS,HF6_SP,HF7_ABS,HF7_SP,HF8_ABS,HF8_SP,HF9_ABS,HF9_SP,HF10_ABS,HF10_SP,HF11_ABS,HF11_SP,HF12_ABS,HF12_SP,HF13_ABS,HF13_SP,HF14_ABS,HF14_SP,HF15_ABS,HF15_SP,HF16_ABS,HF16_SP,Unknown_ABS,Unknown_SP
1190704,28,28,83,82,3,0,24,27,3,0,93,95,10,0,3,7,50,51,0,0,3,6,0,0,21,22,7,10,0,3,23,25,3,0,0,0
1190705,32,36,70,65,0,0,11,14,0,0,58,58,5,7,0,5,33,28,0,0,0,0,0,0,13,11,0,0,0,0,9,9,0,0,0,0
1190706,38,35,46,47,0,0,19,16,5,11,89,88,13,24,7,0,24,21,0,0,0,0,3,5,21,18,3,0,3,2,7,8,6,10,0,0
1190707,38,38,35,32,0,0,0,0,0,0,29,30,0,5,6,6,20,19,0,0,0,4,0,0,9,8,0,0,0,0,5,3,0,0,0,0
1191709,34,33,52,54,3,0,0,0,0,0,67,68,3,0,4,6,19,20,0,0,0,0,0,0,17,17,0,0,4,6,10,10,0,0,0,0
1190710,22,20,46,45,3,7,15,15,4,0,72,72,12,13,5,0,23,27,0,0,0,0,0,5,8,8,0,0,6,5,4,3,0,0,0,0
1191705,22,27,45,45,0,0,11,14,12,14,55,55,3,0,3,0,50,50,0,0,0,0,0,0,20,20,5,8,0,0,20,19,7,7,0,0
1191706,29,26,87,86,7,0,14,19,16,20,52,51,5,9,6,0,47,43,7,18,3,6,3,0,25,23,5,13,3,0,13,12,0,2,0,0
1191707,21,23,31,32,4,0,10,12,0,0,40,41,4,7,0,0,23,25,0,0,0,0,0,0,5,5,0,0,3,1,3,5,8,3,0,0
1191708,19,17,82,81,4,8,26,26,7,0,147,147,30,31,16,16,60,60,4,6,3,4,9,10,18,18,0,0,4,3,8,9,4,3,0,0
1191701,34,30,18,19,5,0,0,0,3,0,25,27,12,12,3,6,35,37,0,0,0,0,7,9,5,7,0,0,0,0,16,17,4,0,0,0
1180912,21,21,60,65,14,0,4,0,0,7,32,35,0,0,0,0,7,0,0,0,0,11,0,0,4,7,0,0,3,0,7,11,7,9,0,0
1191702,31,26,53,54,9,11,20,21,4,7,47,48,8,10,5,7,50,51,3,0,8,0,0,2,17,18,0,0,0,0,8,10,6,0,0,0
1191703,39,37,68,64,14,0,27,31,4,9,108,112,12,13,12,13,57,56,0,0,0,5,0,0,13,17,3,0,4,0,20,20,7,8,0,0
1180910,19,19,44,50,0,0,24,24,0,0,13,13,0,0,6,6,10,14,0,0,0,4,5,0,8,8,0,0,0,0,3,0,3,0,0,0
1191704,9,5,39,36,8,14,35,34,22,24,79,77,16,16,11,11,41,40,0,0,0,0,0,2,6,6,0,1,5,5,8,7,5,0,0,0
1180911,28,27,45,47,5,0,10,12,9,11,29,31,6,0,8,10,16,18,0,0,4,6,0,0,11,12,0,0,0,0,0,0,0,0,0,0
1181001,12,12,67,56,7,0,21,22,13,18,97,98,5,10,13,13,24,26,0,0,0,0,0,0,6,7,0,0,0,0,4,3,5,8,0,0
1180812,11,12,36,40,0,0,14,19,4,0,27,28,3,0,8,13,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
1190511,13,12,59,57,3,0,21,21,13,13,85,84,20,19,9,8,39,38,0,0,3,3,4,5,8,8,0,0,0,3,7,6,0,0,0,0
1181002,25,24,80,80,9,10,34,34,3,4,94,93,0,0,5,6,11,12,0,2,0,0,0,0,22,22,5,0,0,0,0,0,0,0,0,0
1180811,21,21,24,20,0,0,9,13,4,9,29,25,0,0,0,0,16,9,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
1190512,37,36,80,79,4,7,15,15,0,0,92,91,0,0,10,10,19,20,0,0,11,12,3,0,15,15,0,0,0,3,9,10,3,0,0,0
1181003,15,17,65,65,5,0,16,18,5,0,41,41,8,13,5,0,8,8,0,0,7,11,0,0,11,12,0,0,0,1,5,5,3,2,0,0
1180814,18,15,42,39,0,0,0,0,4,9,17,18,3,0,0,4,4,6,0,0,3,6,0,0,3,0,0,0,0,0,3,3,0,3,0,0
1190308,15,15,40,41,3,6,25,26,3,5,46,47,7,0,7,9,30,31,0,0,4,6,0,0,7,8,0,0,0,2,11,12,8,8,0,0
1181004,19,23,54,52,0,0,0,0,5,7,20,18,0,0,0,0,9,13,0,0,8,7,0,0,4,4,0,0,0,0,3,2,0,0,0,0
1180813,18,18,30,29,7,0,8,0,4,9,35,39,5,7,5,7,14,16,0,0,5,0,0,0,0,2,0,0,0,1,7,9,0,0,0,0
1190309,34,35,85,79,0,0,47,48,4,6,165,159,21,23,26,28,36,38,0,0,0,0,3,0,17,17,4,0,0,3,7,9,0,0,0,0
1190510,29,25,39,42,0,0,5,0,4,0,61,65,14,16,0,0,25,27,0,0,3,4,8,9,8,10,0,1,0,1,15,17,0,0,0,0
1181005,5,10,42,47,0,0,3,0,0,0,21,23,0,0,3,0,3,7,0,0,0,0,0,0,10,12,0,0,0,0,6,9,0,0,0,0
1190306,25,23,80,79,0,0,23,25,5,9,60,57,16,18,12,14,25,22,0,0,0,0,3,0,7,8,0,0,0,2,6,6,0,0,0,0
1190307,31,45,38,40,0,0,0,0,5,7,51,53,9,10,5,6,5,0,0,0,3,0,0,0,3,4,0,0,3,4,11,13,3,0,0,0
1181007,13,13,15,19,0,0,0,0,3,6,29,25,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
1190304,26,23,66,65,3,0,32,34,4,6,127,127,10,9,7,6,24,25,0,0,4,7,0,0,11,11,0,0,0,1,7,7,8,7,0,0
1190305,18,16,45,37,4,7,22,24,5,8,94,95,9,9,7,7,20,20,0,0,0,0,3,0,10,13,0,1,8,6,6,7,5,0,0,0
1181104,22,22,38,32,0,0,3,8,0,0,24,23,0,0,4,5,6,8,0,6,0,0,0,0,6,5,0,0,6,0,0,3,0,0,0,0
1190405,23,23,26,23,0,0,3,5,3,0,41,42,5,10,4,4,11,10,0,0,0,8,0,0,7,0,3,8,0,2,3,3,0,0,0,0
1181105,24,25,40,34,0,0,4,0,3,5,37,39,9,0,3,0,7,15,0,0,0,0,5,8,6,6,0,0,3,8,3,3,0,0,0,0
1190406,26,26,33,36,0,0,6,0,13,0,60,63,4,0,9,13,6,9,0,0,3,7,3,0,19,22,0,0,3,6,9,11,0,2,0,0
1181106,18,16,49,50,0,0,13,17,3,0,27,32,0,0,11,7,3,10,0,0,0,0,0,0,5,0,0,0,0,0,5,7,0,0,0,0
1190403,25,22,31,31,4,10,14,14,7,0,62,62,10,8,12,13,24,24,3,8,6,6,3,0,4,4,0,0,5,4,12,11,3,6,0,0
1181107,52,53,43,39,0,0,3,6,3,7,23,15,0,0,0,3,13,12,0,0,7,7,0,0,6,5,0,0,0,0,12,13,0,4,0,0
1190404,15,12,21,27,6,0,8,12,4,0,44,48,6,9,5,8,5,8,3,0,0,0,0,0,0,0,0,0,3,2,3,0,3,0,0,0
1190409,70,73,108,113,9,0,16,19,3,0,149,152,5,0,26,29,44,45,0,0,8,11,0,0,18,20,0,4,0,3,17,16,5,0,0,0
1190610,13,15,39,38,0,0,19,17,5,13,26,22,7,7,3,5,19,16,0,0,6,8,7,12,37,34,5,6,3,3,8,9,4,0,0,0
1181101,38,38,54,52,4,0,6,11,0,0,18,23,0,0,3,0,17,20,0,0,8,0,5,11,7,9,0,0,3,0,6,11,3,0,0,0
1190611,56,56,80,80,4,0,16,17,6,11,63,63,13,16,6,6,49,49,5,0,0,1,0,4,27,27,0,1,3,3,20,19,8,7,0,0
1181102,21,26,39,38,3,0,3,0,3,0,14,12,5,9,0,0,0,10,0,0,0,0,0,0,7,8,0,0,0,0,8,5,0,0,0,0
1190407,21,28,71,64,5,5,30,31,10,12,128,128,3,0,24,24,36,37,0,0,3,4,0,5,0,1,0,0,0,1,8,6,0,0,0,0
1181103,15,12,32,22,0,0,4,7,0,0,10,12,0,0,0,3,6,6,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0
1190408,21,21,84,92,4,0,10,0,4,0,70,81,7,0,12,18,30,37,4,0,3,0,0,0,7,14,0,0,0,0,5,11,0,0,0,0
1190604,28,34,36,34,9,10,16,14,8,9,55,52,6,7,12,10,14,15,0,0,0,0,0,0,14,13,0,0,0,0,18,19,5,9,0,0
1190603,50,60,47,49,0,0,0,0,3,0,52,54,0,0,3,0,11,13,0,0,0,0,0,0,15,16,0,0,6,6,16,17,0,0,0,0
1190602,66,61,72,76,0,0,4,6,4,0,114,113,18,18,11,11,28,27,0,0,0,0,0,0,24,23,0,4,0,0,12,10,8,8,0,0
1190601,57,57,65,66,0,0,8,0,0,0,61,64,0,0,3,0,11,11,0,0,0,0,0,0,19,21,0,0,3,6,17,18,7,10,0,0
1190608,15,6,27,27,3,0,24,24,21,21,72,72,5,8,3,6,31,31,5,0,5,5,14,15,76,77,0,0,9,10,20,22,0,0,0,0
1190412,30,26,48,49,0,0,16,18,0,0,41,42,6,0,3,0,14,19,0,0,0,2,0,0,15,16,3,5,0,0,6,5,0,0,0,0
1190607,44,44,37,41,6,10,5,7,8,0,76,75,0,0,0,5,25,26,0,0,3,5,0,0,7,6,4,6,4,3,10,8,3,3,0,0
1190411,17,17,43,43,3,7,17,16,0,0,40,40,3,6,4,0,12,11,0,0,7,12,0,0,0,1,0,0,0,0,10,8,5,9,0,0
1190606,49,49,72,75,0,4,22,22,3,0,74,75,27,29,7,7,28,29,0,0,5,8,4,0,24,24,5,0,4,4,10,10,4,4,0,0
1190410,28,28,34,27,20,23,26,27,3,12,42,42,0,0,3,0,25,27,3,0,5,9,3,0,3,4,0,0,0,0,4,0,0,0,0,0
1190605,52,60,57,58,0,0,6,0,4,0,43,45,10,18,8,8,20,13,0,0,0,0,0,0,7,8,0,0,3,6,8,12,6,10,0,0
1190509,23,23,44,40,3,0,5,9,8,0,47,47,4,0,5,7,17,21,0,0,0,0,0,0,5,6,0,6,0,0,10,15,3,0,0,0
1190508,25,24,46,38,8,9,4,6,12,13,79,78,18,18,13,16,26,26,0,0,0,0,0,1,8,8,0,0,6,4,8,9,0,0,0,0
1190312,15,23,39,41,0,0,16,15,5,9,45,43,13,13,4,0,26,27,0,0,11,18,4,0,9,9,4,0,0,0,12,13,0,0,0,0
1190507,23,22,112,111,0,0,38,40,7,0,187,189,6,9,16,11,34,38,0,2,10,11,0,4,0,1,3,0,0,0,8,9,0,0,0,0
1190311,26,18,50,48,0,0,8,12,3,5,91,91,5,4,14,13,25,24,0,0,0,0,3,0,11,12,3,5,3,4,8,7,3,0,0,0
1190506,11,10,49,45,11,13,32,33,6,8,131,131,0,0,20,19,38,36,0,0,0,0,0,0,9,11,3,0,0,0,0,1,0,0,0,0
1190609,49,48,48,43,0,0,6,0,4,0,53,57,10,12,4,4,19,20,0,0,3,6,0,0,9,12,0,0,3,3,7,9,0,0,0,0
1190310,18,18,41,39,0,8,19,18,3,0,55,54,0,3,7,6,19,18,0,0,0,0,3,5,4,3,0,0,0,0,6,7,3,3,0,0
1190505,20,25,31,32,4,5,12,14,3,6,65,60,0,3,8,8,17,14,0,0,0,0,0,0,9,6,0,0,0,0,8,10,0,3,0,0
1190504,38,37,91,93,5,0,18,21,19,20,125,128,14,15,10,10,37,38,0,0,3,3,3,5,14,14,0,0,0,0,18,18,3,3,0,0
1190503,41,46,61,60,6,20,20,16,23,23,48,45,6,6,6,0,29,30,0,0,7,7,5,8,16,14,0,0,5,6,13,15,4,3,0,0
1190502,26,30,65,62,0,0,9,9,11,12,80,82,12,11,8,0,17,26,0,0,3,4,0,0,10,10,3,4,4,3,11,9,0,5,0,0
1190501,19,20,31,33,0,0,7,8,0,0,20,20,6,9,6,0,16,18,3,0,0,0,0,5,9,7,0,0,3,3,10,10,0,0,0,0
1190402,32,32,78,77,0,0,58,60,8,0,115,118,13,17,17,14,34,37,0,0,11,14,0,0,7,10,3,6,7,4,9,9,4,5,0,0
1190401,38,40,48,48,7,0,14,16,6,8,77,78,9,12,12,15,16,18,6,0,7,10,3,0,24,24,0,0,3,0,16,18,5,7,0,0
1190301,37,34,68,63,7,10,17,16,13,12,131,130,13,18,8,7,43,41,0,0,0,2,0,2,12,10,0,0,4,8,13,10,6,4,0,0
1190303,32,31,60,59,9,10,26,25,0,0,52,51,13,17,12,12,29,20,0,7,4,3,0,0,11,10,3,0,0,1,7,6,0,3,0,0
1190302,47,47,45,46,16,16,5,5,3,0,39,39,0,0,13,13,13,15,0,0,0,0,3,8,3,2,0,0,8,8,0,1,0,0,0,0
1180108,14,14,54,51,3,0,38,40,10,16,107,109,7,8,5,4,18,18,3,0,0,0,0,7,7,7,0,0,4,0,3,5,0,0,0,0
1180107,12,16,23,28,0,0,8,16,0,0,18,14,4,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,6,0,0
1180311,15,15,25,25,0,0,0,0,0,5,30,24,0,5,7,6,5,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
1180601,18,19,55,56,6,0,20,23,6,9,53,53,18,21,3,6,13,13,0,0,4,0,0,0,5,5,0,0,0,2,4,3,0,0,0,0
1180310,42,42,96,88,10,20,28,31,14,0,125,127,16,8,12,12,18,20,0,0,8,12,0,0,8,11,0,0,0,0,4,4,3,4,0,0
1180109,9,13,39,37,14,19,40,38,0,0,76,74,30,29,20,19,39,46,0,0,5,5,0,0,17,15,3,0,3,3,5,4,0,0,0,0
1180313,21,21,39,40,4,0,19,22,4,0,30,34,3,0,4,5,17,19,0,0,0,0,3,7,0,0,6,0,0,2,3,5,0,0,0,0
1180312,9,8,22,22,0,0,3,0,0,0,10,15,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
1180314,13,13,34,30,0,0,12,14,0,0,43,46,3,9,18,17,18,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1180412,18,14,48,46,5,12,37,38,11,12,141,140,8,9,15,15,30,28,0,0,3,0,4,0,3,3,0,4,3,0,3,0,0,0,0,0
1180411,12,12,45,41,9,11,23,24,0,0,46,48,6,0,16,17,14,15,0,0,0,3,0,0,3,5,0,0,0,4,3,0,0,1,0,0
1180414,9,6,20,18,0,0,5,9,5,0,12,16,0,7,0,0,4,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,4,0,0,0
1180413,5,12,27,24,16,19,24,26,0,0,51,50,3,0,0,0,13,15,0,0,4,0,0,0,5,6,0,0,0,0,0,4,3,0,0,0
1180207,26,25,86,87,9,11,18,21,6,6,73,71,11,13,24,30,38,36,0,0,5,0,0,0,3,3,0,0,0,0,10,12,0,0,0,0
1180206,32,30,78,81,3,0,17,20,3,5,76,79,8,0,5,9,27,29,0,0,0,0,3,5,4,6,3,0,0,0,6,7,3,0,0,0
1180410,16,13,69,72,5,0,32,31,15,14,88,87,6,8,12,11,31,33,0,0,5,5,0,4,13,12,0,0,6,3,0,0,0,0,0,0
1180209,21,19,85,86,0,0,14,15,0,0,72,73,6,7,13,18,23,22,0,0,5,8,0,0,15,14,3,3,4,5,7,7,3,0,0,0
1180502,19,21,48,47,3,0,17,21,3,9,31,31,5,0,10,13,10,11,0,0,0,0,0,0,10,9,0,0,0,4,5,6,5,0,0,0
1180208,15,18,63,63,3,0,16,16,13,13,43,43,8,9,18,18,16,19,0,0,10,11,3,0,12,12,0,0,0,3,5,5,0,0,0,0
1180501,21,28,39,39,0,0,15,17,4,0,41,43,7,8,8,5,12,16,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0
1180408,16,20,50,50,8,0,9,18,13,17,68,73,4,0,5,0,16,22,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
1180409,7,7,32,30,0,0,24,22,0,0,25,26,3,9,6,3,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1180404,12,17,40,42,0,0,13,16,3,6,19,18,4,0,7,9,12,17,6,0,4,9,0,5,3,0,0,0,0,0,0,0,3,0,0,0
1182501,48,46,105,106,3,0,25,27,4,6,66,68,15,21,7,7,26,26,8,0,5,7,8,0,19,21,5,7,6,8,16,17,7,8,0,0
1180405,17,18,54,52,5,7,12,15,7,8,50,46,5,0,4,3,7,9,0,0,3,9,0,0,5,6,0,0,0,4,4,4,0,0,0,0
1180210,21,21,39,40,0,0,7,0,3,0,0,0,4,6,0,4,11,12,0,0,0,0,0,0,0,9,4,0,0,0,5,6,0,0,0,0
1182502,18,18,45,48,6,14,8,10,0,0,39,34,4,0,4,5,7,7,0,0,0,0,0,5,9,7,0,0,0,0,0,0,0,0,0,0
1180406,19,13,36,36,5,0,10,16,11,13,40,41,9,0,3,0,16,22,0,0,5,6,0,0,12,13,0,7,0,0,6,9,3,0,0,0
1180211,18,21,80,77,0,0,27,26,18,19,116,112,11,13,18,15,36,38,0,0,7,7,0,5,12,11,0,0,0,3,0,2,6,0,0,0
1182503,26,23,65,62,0,0,5,7,5,6,39,41,0,0,3,0,7,10,0,0,6,8,6,7,17,18,0,0,0,1,10,10,3,0,0,0
1182504,47,38,85,82,9,12,9,9,10,16,44,41,0,3,9,13,17,14,3,3,5,6,0,0,21,18,0,0,5,4,11,8,0,0,0,0
1180305,12,9,36,33,0,0,17,21,0,0,29,33,12,14,14,12,9,12,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0
1180110,13,14,68,58,0,0,51,54,18,20,128,118,22,28,21,28,27,27,0,0,0,0,0,0,15,11,0,0,5,9,8,6,0,0,0,0
1180306,0,0,30,29,0,0,11,12,3,6,34,37,6,10,15,19,13,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0
1180307,23,23,42,42,0,0,7,0,5,0,18,23,4,0,6,14,15,20,0,0,0,0,0,0,14,19,0,0,0,0,0,3,0,0,0,0
1180308,14,11,32,35,3,10,25,27,9,0,48,51,0,0,21,23,24,26,3,0,3,8,0,0,3,0,0,0,0,0,6,8,5,0,0,0
1180309,34,31,52,50,18,18,46,46,12,14,92,92,13,15,10,7,30,36,0,0,7,10,0,0,10,10,0,0,3,3,13,13,3,0,0,0
1180612,28,28,29,25,0,0,7,9,6,12,16,16,0,0,4,0,7,12,0,0,0,0,3,0,6,6,0,0,0,0,9,11,0,0,0,0
1180807,18,17,33,36,0,0,7,0,0,0,31,39,3,0,0,0,7,8,0,0,4,0,3,0,5,9,0,0,0,0,4,4,3,0,0,0
1180611,27,26,62,52,0,3,32,34,8,9,117,120,7,8,7,6,17,17,0,0,5,7,5,0,18,20,0,0,0,3,0,1,0,0,0,0
1180806,14,15,71,70,0,0,6,8,0,0,16,18,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0
1180610,21,21,53,42,0,0,7,8,8,12,102,102,9,0,13,14,11,17,0,0,7,9,0,0,5,6,0,0,3,4,6,8,0,0,0,0
1180805,44,44,101,100,12,0,5,13,0,0,43,45,4,0,0,0,23,29,0,0,0,0,0,0,8,10,0,0,0,0,4,0,0,0,0,0
