dAge,counts
-29,1
5,1
-25,1
7,2
77,1
10,1
15,1
17,4
16,3
19,8
18,6
81,1
21,4
20,5
23,5
22,6
25,7
24,3
27,3
26,6
29,3
28,2
31,3
30,1
32,1
40,1
57,1
61,1
