ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,112,-1,-1,-1,-1,-1,-1
_15_24,8,0,-1,16,7,4,0,0,-1
_25_34,40,7,-1,-1,6,0,0,0,-1
_35_44,56,6,-1,-1,0,0,0,3,-1
_45_54,43,11,-1,-1,0,3,0,3,-1
_55_64,79,0,-1,-1,3,0,0,14,-1
_65_74,67,0,-1,-1,0,0,7,11,-1
_75_84,24,0,-1,-1,0,0,0,14,-1
_85_99,3,0,-1,-1,0,0,0,0,-1
