ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,82,-1,-1,-1,-1,-1,-1
_15_24,7,0,-1,13,22,0,0,0,-1
_25_34,40,4,-1,-1,7,4,0,4,-1
_35_44,34,15,-1,-1,6,0,0,0,-1
_45_54,44,0,-1,-1,0,3,0,6,-1
_55_64,41,3,-1,-1,0,3,0,6,-1
_65_74,26,0,-1,-1,0,0,0,7,-1
_75_84,3,3,-1,-1,0,0,0,4,-1
_85_99,0,0,-1,-1,0,0,0,0,-1
