ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,103,-1,-1,-1,-1,-1,-1
_15_24,3,0,-1,27,14,0,3,0,-1
_25_34,23,8,-1,-1,6,0,0,0,-1
_35_44,50,8,-1,-1,0,0,0,0,-1
_45_54,63,9,-1,-1,0,0,3,3,-1
_55_64,34,0,-1,-1,0,3,0,13,-1
_65_74,19,0,-1,-1,0,0,0,11,-1
_75_84,7,0,-1,-1,0,0,0,6,-1
_85_99,0,0,-1,-1,0,0,0,4,-1
