ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,83,-1,-1,-1,-1,-1,-1
_15_24,0,6,-1,26,20,6,0,0,-1
_25_34,24,20,-1,-1,3,3,3,3,-1
_35_44,25,29,-1,-1,0,0,0,4,-1
_45_54,40,23,-1,-1,0,0,0,6,-1
_55_64,24,3,-1,-1,3,3,0,7,-1
_65_74,15,0,-1,-1,0,0,0,6,-1
_75_84,4,3,-1,-1,0,3,0,3,-1
_85_99,0,0,-1,-1,0,3,0,0,-1
