ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,170,-1,-1,-1,-1,-1,-1
_15_24,3,3,-1,58,39,4,0,0,-1
_25_34,62,7,-1,-1,18,3,7,3,-1
_35_44,100,25,-1,-1,0,0,0,0,-1
_45_54,89,16,-1,-1,0,3,0,3,-1
_55_64,45,8,-1,-1,0,3,0,4,-1
_65_74,14,3,-1,-1,0,5,0,3,-1
_75_84,3,0,-1,-1,0,7,0,0,-1
_85_99,0,0,-1,-1,0,0,0,3,-1
