ageBandIndex,Married,LoneParent,U15Child,Student,O15Child,Relative,GroupHhold,LonePerson,Unknown
_0_14,-1,-1,101,-1,-1,-1,-1,-1,-1
_15_24,7,0,-1,38,24,4,0,0,-1
_25_34,45,11,-1,-1,12,7,3,7,-1
_35_44,49,12,-1,-1,4,0,0,3,-1
_45_54,45,12,-1,-1,5,3,0,8,-1
_55_64,31,7,-1,-1,0,4,0,13,-1
_65_74,17,3,-1,-1,0,5,0,19,-1
_75_84,10,5,-1,-1,0,0,0,19,-1
_85_99,3,3,-1,-1,0,3,0,3,-1
