zoneName,MarriedABS,MarriedSP,LoneParentABS,LoneParentSP,U15ChildABS,U15ChildSP,StudentABS,StudentSP,O15ChildABS,O15ChildSP,RelativeABS,RelativeSP,GroupHholdMembersABS,GroupHholdMembersSP,LonePersonABS,LonePersonSP,UnknownABS,UnknownSP
1192113,0.525,0.5431034482758621,0.0,0.0,0.13333333333333333,0.13793103448275862,0.025,0.02586206896551724,0.058333333333333334,0.0603448275862069,0.025,0.02586206896551724,0.025,0.0,0.20833333333333334,0.20689655172413793,0.0,0.0
1192110,0.4246153846153846,0.4246153846153846,0.024615384615384615,0.024615384615384615,0.23384615384615384,0.23384615384615384,0.033846153846153845,0.033846153846153845,0.14461538461538462,0.14461538461538462,0.04,0.04,0.0,0.0,0.09846153846153846,0.09846153846153846,0.0,0.0
1192911,0.4777777777777778,0.48333333333333334,0.0,0.0,0.21666666666666667,0.21666666666666667,0.022222222222222223,0.022222222222222223,0.05555555555555555,0.05555555555555555,0.03333333333333333,0.03333333333333333,0.05,0.05555555555555555,0.14444444444444443,0.13333333333333333,0.0,0.0
1192108,0.5303030303030303,0.5555555555555556,0.0,0.0,0.21212121212121213,0.2222222222222222,0.06060606060606061,0.0,0.045454545454545456,0.047619047619047616,0.0,0.0,0.09090909090909091,0.09523809523809523,0.06060606060606061,0.07936507936507936,0.0,0.0
1192912,0.4935064935064935,0.5021834061135371,0.0,0.0,0.23376623376623376,0.23580786026200873,0.05194805194805195,0.05240174672489083,0.09523809523809523,0.09606986899563319,0.012987012987012988,0.013100436681222707,0.017316017316017316,0.0,0.09523809523809523,0.10043668122270742,0.0,0.0
1192109,0.4625,0.4671717171717172,0.035,0.030303030303030304,0.18,0.18181818181818182,0.0425,0.04292929292929293,0.14,0.1414141414141414,0.04,0.04040404040404041,0.0175,0.017676767676767676,0.0825,0.07828282828282829,0.0,0.0
1192910,0.5606936416184971,0.5511363636363636,0.017341040462427744,0.017045454545454544,0.2254335260115607,0.2215909090909091,0.028901734104046242,0.028409090909090908,0.11560693641618497,0.11363636363636363,0.03468208092485549,0.03409090909090909,0.017341040462427744,0.011363636363636364,0.0,0.022727272727272728,0.0,0.0
1181602,0.6179775280898876,0.5955056179775281,0.0,0.0,0.056179775280898875,0.056179775280898875,0.0,0.0,0.07865168539325842,0.07865168539325842,0.0,0.0,0.0,0.0,0.24719101123595505,0.2696629213483146,0.0,0.0
1181601,0.4657039711191336,0.4673913043478261,0.04332129963898917,0.03985507246376811,0.22382671480144403,0.2246376811594203,0.02527075812274368,0.025362318840579712,0.07220216606498195,0.07608695652173914,0.032490974729241874,0.03260869565217391,0.032490974729241874,0.03260869565217391,0.10469314079422383,0.10144927536231885,0.0,0.0
1192908,0.47384615384615386,0.47678018575851394,0.027692307692307693,0.02786377708978328,0.1723076923076923,0.17337461300309598,0.052307692307692305,0.05263157894736842,0.13230769230769232,0.13312693498452013,0.033846153846153845,0.034055727554179564,0.009230769230769232,0.009287925696594427,0.09846153846153846,0.09287925696594428,0.0,0.0
1192909,0.44256756756756754,0.4486301369863014,0.030405405405405407,0.02054794520547945,0.21283783783783783,0.21575342465753425,0.02027027027027027,0.02054794520547945,0.10472972972972973,0.10616438356164383,0.057432432432432436,0.05821917808219178,0.05067567567567568,0.04794520547945205,0.08108108108108109,0.0821917808219178,0.0,0.0
1190901,0.4,0.4100418410041841,0.012244897959183673,0.012552301255230125,0.21224489795918366,0.2175732217573222,0.04897959183673469,0.0502092050209205,0.0653061224489796,0.06694560669456066,0.02040816326530612,0.02092050209205021,0.05714285714285714,0.04184100418410042,0.1836734693877551,0.1799163179916318,0.0,0.0
1190902,0.4774436090225564,0.4847328244274809,0.02631578947368421,0.022900763358778626,0.23684210526315788,0.24045801526717558,0.03759398496240601,0.03816793893129771,0.13909774436090225,0.14122137404580154,0.02631578947368421,0.026717557251908396,0.0,0.0,0.05639097744360902,0.04580152671755725,0.0,0.0
1190903,0.4418052256532066,0.4449760765550239,0.021377672209026127,0.0215311004784689,0.20190023752969122,0.20334928229665072,0.04513064133016627,0.045454545454545456,0.09026128266033254,0.09090909090909091,0.026128266033254157,0.02631578947368421,0.040380047505938245,0.03349282296650718,0.1330166270783848,0.1339712918660287,0.0,0.0
1190904,0.4470588235294118,0.4470588235294118,0.0,0.0,0.07058823529411765,0.07058823529411765,0.0,0.0,0.07058823529411765,0.07058823529411765,0.03529411764705882,0.03529411764705882,0.0,0.0,0.3764705882352941,0.3764705882352941,0.0,0.0
1190905,0.475,0.4672131147540984,0.025,0.02459016393442623,0.22083333333333333,0.21721311475409835,0.029166666666666667,0.040983606557377046,0.10833333333333334,0.10655737704918032,0.0375,0.036885245901639344,0.0125,0.012295081967213115,0.09166666666666666,0.0942622950819672,0.0,0.0
1192902,0.5555555555555556,0.5685483870967742,0.015873015873015872,0.004032258064516129,0.1865079365079365,0.18951612903225806,0.05555555555555555,0.056451612903225805,0.10714285714285714,0.10887096774193548,0.011904761904761904,0.012096774193548387,0.011904761904761904,0.012096774193548387,0.05555555555555555,0.04838709677419355,0.0,0.0
1190906,0.4025974025974026,0.40522875816993464,0.01948051948051948,0.0196078431372549,0.17532467532467533,0.17647058823529413,0.025974025974025976,0.026143790849673203,0.1038961038961039,0.10457516339869281,0.05844155844155844,0.058823529411764705,0.05844155844155844,0.058823529411764705,0.15584415584415584,0.1503267973856209,0.0,0.0
1192903,0.5161290322580645,0.5203252032520326,0.012096774193548387,0.012195121951219513,0.20967741935483872,0.21138211382113822,0.06451612903225806,0.06504065040650407,0.08870967741935484,0.08943089430894309,0.012096774193548387,0.012195121951219513,0.012096774193548387,0.012195121951219513,0.0846774193548387,0.07723577235772358,0.0,0.0
1190907,0.3883495145631068,0.3864734299516908,0.02912621359223301,0.028985507246376812,0.11165048543689321,0.1111111111111111,0.03398058252427184,0.033816425120772944,0.08737864077669903,0.08695652173913043,0.043689320388349516,0.043478260869565216,0.09223300970873786,0.0966183574879227,0.21359223300970873,0.21256038647342995,0.0,0.0
1190908,0.3941018766756032,0.39572192513368987,0.024128686327077747,0.02406417112299465,0.19571045576407506,0.19518716577540107,0.040214477211796246,0.040106951871657755,0.0777479892761394,0.07754010695187166,0.024128686327077747,0.02406417112299465,0.0777479892761394,0.07754010695187166,0.16621983914209115,0.1657754010695187,0.0,0.0
