zoneName,1_ABS,1_SP,2_ABS,2_SP,3_ABS,3_SP,4_ABS,4_SP,5_ABS,5_SP,>=6_ABS,>=6_SP
1180104,0.0,0.0,0.37435897435897436,0.4336734693877551,0.2205128205128205,0.25510204081632654,0.2717948717948718,0.18877551020408162,0.09743589743589744,0.09693877551020408,0.035897435897435895,0.025510204081632654
1180603,0.0,0.0,0.5238095238095238,0.5542168674698795,0.30952380952380953,0.3132530120481928,0.07142857142857142,0.04819277108433735,0.05952380952380952,0.04819277108433735,0.03571428571428571,0.03614457831325301
1191509,0.0,0.0,0.2936170212765957,0.36929460580912865,0.20851063829787234,0.2572614107883817,0.2978723404255319,0.22406639004149378,0.14893617021276595,0.12448132780082988,0.05106382978723404,0.024896265560165973
1191507,0.0,0.0,0.21212121212121213,0.24242424242424243,0.22424242424242424,0.3090909090909091,0.38484848484848483,0.34545454545454546,0.12121212121212122,0.08484848484848485,0.05757575757575758,0.01818181818181818
1191508,0.0,0.0,0.24,0.3246753246753247,0.2,0.2987012987012987,0.37333333333333335,0.2857142857142857,0.13333333333333333,0.06493506493506493,0.05333333333333334,0.025974025974025976
1191505,0.0,0.0,0.3651452282157676,0.3459915611814346,0.17427385892116182,0.31645569620253167,0.3070539419087137,0.22362869198312235,0.11203319502074689,0.09282700421940929,0.04149377593360996,0.02109704641350211
1180712,0.0,0.0,0.41605839416058393,0.4419475655430712,0.17518248175182483,0.25842696629213485,0.24087591240875914,0.20224719101123595,0.10583941605839416,0.07116104868913857,0.06204379562043796,0.026217228464419477
1191506,0.0,0.0,0.1794871794871795,0.2413793103448276,0.2564102564102564,0.3793103448275862,0.3418803418803419,0.1810344827586207,0.18803418803418803,0.1724137931034483,0.03418803418803419,0.02586206896551724
1180713,0.0,0.0,0.34234234234234234,0.38425925925925924,0.23873873873873874,0.3287037037037037,0.24324324324324326,0.1388888888888889,0.14414414414414414,0.12962962962962962,0.03153153153153153,0.018518518518518517
1191503,0.0,0.0,0.2857142857142857,0.2222222222222222,0.3142857142857143,0.4722222222222222,0.11428571428571428,0.08333333333333333,0.17142857142857143,0.1388888888888889,0.11428571428571428,0.08333333333333333
