dAge,counts
2,1
4,1
5,2
17,30
16,30
19,41
-13,1
18,55
21,43
20,44
23,52
-9,1
22,54
25,58
-7,1
24,49
-6,1
27,46
26,61
29,11
-3,1
28,31
31,2
30,9
34,9
35,5
32,2
33,3
38,1
39,2
36,6
37,3
40,1
47,2
55,1
53,2
